变量,中文名,系数(B),标准误(SE),z值,p值,OR值,OR_95%CI_lower,OR_95%CI_upper
const,截距,6.775278741539926,1.8866980951191534,3.5910773213093408,0.0003293139113856588,875.9234852705023,21.702303899748753,35353.01853630876
age,年龄,0.07149786538420837,0.004622742032793496,15.466548831192863,5.835268042509037e-54,1.0741158578741945,1.064427884844515,1.0838920067425193
gender_male,gender_male,0.9705834597036386,0.1344871495074788,7.216923425458315,5.317690041541578e-13,2.639484042745381,2.0278852276885893,3.435537631411437
TG,甘油三酯,0.23877756926698201,0.03001767803026353,7.9545649409074475,1.797620634527835e-15,1.2696960857410655,1.1971503225363829,1.3466380284896835
ALT,*丙氨酸氨基转换酶,0.01311783021192562,0.002452678793539768,5.348368586411446,8.8750581345574e-08,1.0132042463975193,1.008345297578029,1.0180866092039516
BUN,尿素,0.10308706777635522,0.045195520496424155,2.2809133879653274,0.02255357257121098,1.1085879271598509,1.0146111902782586,1.211269108817466
UA,尿酸,-0.0036932330615847813,0.000768130910102596,-4.80807765058106,1.5238857691188854e-06,0.9963135785354534,0.9948147480910352,0.9978146671819194
MCV,红细胞平均体积,-0.09728118838628574,0.01498695801798058,-6.491056308396459,8.52366115186209e-11,0.9073008477999053,0.8810375020666928,0.9343470924761075
RDW,红细胞体积分布宽度,-0.4506595452845721,0.0796510455758685,-5.65792378526047,1.5321514144906668e-08,0.6372077456346936,0.5451072438644081,0.7448694099501761
WBC,白细胞计数,0.1727380018316115,0.031213858164291387,5.534016362937907,3.129797566085243e-08,1.1885546651421697,1.1180207830061433,1.2635384006304764
