Region,TaskType,Validation_RMSE,learning_rate,max_iter,max_leaf_nodes,l2_regularization
RegionA,RealTimeInference,24.117343783381468,0.05,220,31,1.0
RegionA,BatchInference,51.37031604633112,0.1,150,15,2.0
RegionA,AITraining,101.87653541652728,0.05,150,15,1.0
RegionB,RealTimeInference,25.55574720061268,0.05,150,15,1.0
RegionB,BatchInference,80.64660248337145,0.05,150,15,1.0
RegionB,AITraining,133.0241278850822,0.1,150,15,2.0
RegionC,RealTimeInference,21.722009392070284,0.05,220,31,1.0
RegionC,BatchInference,38.61614590445068,0.1,150,15,2.0
RegionC,AITraining,139.49253697800327,0.05,220,31,1.0
RegionD,RealTimeInference,6.007687055476371,0.05,220,31,1.0
RegionD,BatchInference,86.26295441424213,0.05,150,15,1.0
RegionD,AITraining,298.8807262320876,0.1,150,15,2.0
RegionE,RealTimeInference,7.098159070211506,0.05,150,15,1.0
RegionE,BatchInference,52.74992412028829,0.05,150,15,1.0
RegionE,AITraining,445.73848127654423,0.05,220,31,1.0
RegionF,RealTimeInference,5.022171996910706,0.1,150,15,2.0
RegionF,BatchInference,47.868100821451876,0.05,150,15,1.0
RegionF,AITraining,454.66320461535463,0.05,220,31,1.0
