TaskType,SourceRegion,Tasks,MigratedTasks,AverageWait_h,GPU_h,MigrationRate
AITraining,RegionA,879,0,0.0,214319.28333333333,0.0
AITraining,RegionB,871,0,0.0,212294.63333333333,0.0
AITraining,RegionC,815,0,0.00245398773006135,198331.96666666667,0.0
AITraining,RegionD,5726,0,0.00034928396786587494,1387122.6833333333,0.0
AITraining,RegionE,4091,0,0.009533121486189195,978535.1166666667,0.0
AITraining,RegionF,4177,0,0.016997845343548,1032935.0333333333,0.0
BatchInference,RegionA,3331,0,0.0,154341.45,0.0
BatchInference,RegionB,3312,0,0.0006038647342995169,151260.43333333332,0.0
BatchInference,RegionC,2523,0,0.00039635354736424893,117897.36666666667,0.0
BatchInference,RegionD,3346,0,0.0,155177.2,0.0
BatchInference,RegionE,2172,0,0.0023020257826887663,100158.33333333333,0.0
BatchInference,RegionF,2033,0,0.003935071323167732,90263.01666666666,0.0
RealTimeInference,RegionA,5852,0,0.0,79791.71666666666,0.0
RealTimeInference,RegionB,5017,0,0.0,67203.08333333333,0.0
RealTimeInference,RegionC,4221,0,0.0,58704.95,0.0
RealTimeInference,RegionD,488,0,0.0,6558.55,0.0
RealTimeInference,RegionE,649,0,0.0,9054.766666666666,0.0
RealTimeInference,RegionF,497,0,0.0,6837.066666666667,0.0
