Hour,Region,Baseline_AI_IT_Load_MW,NonAI_IT_Load_MW,AvailableRenewable_MW,ElectricityPrice_CNY_per_MWh,SellPrice_CNY_per_MWh,CarbonIntensity_tCO2_per_MWh,GridPurchase_MW,GridSell_MW,Curtailment_MW,RenewableCharge_MW,GridCharge_MW,ChargePower_MW,DischargePower_MW,SOC_MWh,NetGridImport_MW,CarbonEmission_tCO2,IT_Load_MW,DirectRenewable_MW,Cost_CNY
0,RegionA,1.7583333333,367.981667,540.19,468.0,0.0,0.6679,457.2511,0.0,425.2921,55.0,18.0,73.0,0.0,225.39,457.2511,305.398,369.74000033330003,59.89790000000005,213993.5148
0,RegionB,14.3733333333,325.436667,540.19,448.5,0.0,0.6248,406.132,0.0,421.8785,49.5,16.2,65.7,0.0,205.101,406.132,253.7513,339.8100003333,68.81150000000008,182150.202
0,RegionC,1.5506666667,337.659333,540.19,435.5,0.0,0.5925,399.15,0.0,409.1802,46.75,15.3,62.05,0.0,192.7065,399.15,236.4964,339.2099996667,84.25980000000004,173829.82499999998
0,RegionD,49.92,296.44,540.19,279.5,218.01,0.4525,344.3562,166.6744,136.37,75.7611,62.4,138.1611,0.0,534.8714,177.6818,155.8212,346.36,161.38450000000006,59910.871956
0,RegionE,12.06,346.67,540.19,247.0,192.66,0.237,259.3856,129.1678,105.6827,58.7126,57.6,116.3126,0.0,478.3339,130.2178,61.4744,358.73,246.62690000000003,39182.774852
0,RegionF,18.56,358.41,540.19,260.0,202.8,0.2801,245.7742,108.7734,88.9964,49.4425,60.0,109.4425,0.0,485.3759,137.0008,68.8413,376.97,292.9777000000001,41842.046480000005
1,RegionA,3.58,393.03,587.87,468.31,0.0,0.6703,489.1727,0.0,468.6192,55.0,18.0,73.0,0.0,293.28,489.1727,327.8924,396.60999999999996,64.25080000000003,229084.467137
1,RegionB,9.2346666667,381.385333,587.87,448.79,0.0,0.6271,464.4364,0.0,459.2695,49.5,16.2,65.7,0.0,266.202,464.4364,291.2481,390.6199996667,79.10050000000001,208434.411956
1,RegionC,30.924,357.876,587.87,435.78,0.0,0.5946,455.2661,0.0,444.5421,46.75,15.3,62.05,0.0,250.413,455.2661,270.7012,388.79999999999995,96.5779,198395.86105799998
1,RegionD,58.976,304.584,587.87,279.68,218.15,0.4541,359.7527,180.0,155.8927,83.9732,62.4,146.3732,0.0,672.4622,179.7527,163.3637,363.56,168.0041,61348.635136
1,RegionE,15.6516666667,382.138333,587.87,247.16,192.78,0.2378,281.3569,138.3313,113.1802,62.8779,57.6,120.4779,0.0,591.5831,143.0255,66.9067,397.7899996667,273.48060000000004,42872.663389999994
1,RegionF,49.6,314.83,587.87,260.17,202.93,0.2811,236.8201,132.8202,108.6711,60.3728,60.0,120.3728,0.0,598.5263,104.0,66.5701,364.43,286.0059,34660.282231000005
2,RegionA,7.536,395.664,650.0,468.61,0.0,0.6693,497.0016,0.0,541.6924,42.9892,18.0,60.9892,0.0,350.0,497.0016,332.6432,403.2,65.3184,232899.919776
2,RegionB,31.8106666667,361.789333,650.0,449.08,0.0,0.6261,467.856,0.0,528.6487,41.6473,16.2,57.8473,0.0,320.0,467.856,292.9246,393.5999996667,79.70400000000006,210104.77247999999
2,RegionC,31.7,357.1,650.0,436.07,0.0,0.5937,455.2661,0.0,515.4027,38.0194,15.3,53.3194,0.0,300.0,455.2661,270.2915,388.8,96.5779,198527.888227
2,RegionD,102.0083333333,309.091667,650.0,279.86,218.29,0.4534,399.1731,180.0,188.4521,92.113,62.4,154.513,0.0,817.7044,219.1731,180.9851,411.1000003333,189.43489999999994,72420.383766
2,RegionE,19.9,382.82,650.0,247.32,192.91,0.2375,284.13,164.1772,134.3268,74.626,57.6,132.226,0.0,715.8755,119.9528,67.4809,402.71999999999997,276.87000000000006,38599.607948000004
2,RegionF,80.64,319.95,650.0,260.34,203.07,0.2807,253.3247,147.2132,120.4472,66.9151,60.0,126.9151,0.0,717.8265,106.1115,71.1083,400.59,315.4245,36055.967874
3,RegionA,10.915,392.285,722.35,468.91,0.0,0.665,479.0016,0.0,657.0316,0.0,0.0,0.0,0.0,350.0,479.0016,318.5361,403.20000000000005,65.3184,224608.640256
3,RegionB,30.068,363.532,722.35,449.38,0.0,0.6221,451.656,0.0,642.646,0.0,0.0,0.0,0.0,320.0,451.656,280.9752,393.59999999999997,79.70400000000006,202965.17328
3,RegionC,31.7,357.1,722.35,436.35,0.0,0.59,439.9661,0.0,625.7721,0.0,0.0,0.0,0.0,300.0,439.9661,259.58,388.8,96.5779,191979.207735
