Scenario,Constraint,ViolationCount,MaxViolation,Status,Detail
Scheme2_StorageLP,C1_EnergyBalance,0,1.7053025658242404e-13,PASS,附件统一能源平衡
Scheme2_StorageLP,C2_RenewableConservation,0,1.7053025658242404e-13,PASS,可再生守恒
Scheme2_StorageLP,C3_Nonnegative,0,0.0,PASS,功率变量非负
Scheme2_StorageLP,C4_SOCRecurrence_RegionA,0,7.105427357601002e-15,PASS,SOC 时段末递推
Scheme2_StorageLP,C5_SOCBounds_RegionA,0,0.0,PASS,SOC 上下限
Scheme2_StorageLP,C6_ChargeLimit_RegionA,0,0.0,PASS,充电功率上限
Scheme2_StorageLP,C7_DischargeLimit_RegionA,0,0.0,PASS,放电功率上限
Scheme2_StorageLP,C8_GridImport_RegionA,0,0.0,PASS,毛购电上限
Scheme2_StorageLP,C9_GridExport_RegionA,0,0.0,PASS,外送上限
Scheme2_StorageLP,C10_TerminalSOC_RegionA,0,0.0,PASS,SOC(2406) 不低于初始
Scheme2_StorageLP,C11_Hour2406Idle_RegionA,0,0.0,PASS,2406 仅结算，不充放电
Scheme2_StorageLP,C12_RenewableAlpha_RegionA,0,0.0,PASS,可再生消纳上限
Scheme2_StorageLP,C4_SOCRecurrence_RegionB,0,7.105427357601002e-15,PASS,SOC 时段末递推
Scheme2_StorageLP,C5_SOCBounds_RegionB,0,0.0,PASS,SOC 上下限
Scheme2_StorageLP,C6_ChargeLimit_RegionB,0,0.0,PASS,充电功率上限
Scheme2_StorageLP,C7_DischargeLimit_RegionB,0,0.0,PASS,放电功率上限
Scheme2_StorageLP,C8_GridImport_RegionB,0,0.0,PASS,毛购电上限
Scheme2_StorageLP,C9_GridExport_RegionB,0,0.0,PASS,外送上限
Scheme2_StorageLP,C10_TerminalSOC_RegionB,0,0.0,PASS,SOC(2406) 不低于初始
Scheme2_StorageLP,C11_Hour2406Idle_RegionB,0,0.0,PASS,2406 仅结算，不充放电
Scheme2_StorageLP,C12_RenewableAlpha_RegionB,0,0.0,PASS,可再生消纳上限
Scheme2_StorageLP,C4_SOCRecurrence_RegionC,0,0.0,PASS,SOC 时段末递推
Scheme2_StorageLP,C5_SOCBounds_RegionC,0,0.0,PASS,SOC 上下限
Scheme2_StorageLP,C6_ChargeLimit_RegionC,0,0.0,PASS,充电功率上限
Scheme2_StorageLP,C7_DischargeLimit_RegionC,0,0.0,PASS,放电功率上限
Scheme2_StorageLP,C8_GridImport_RegionC,0,0.0,PASS,毛购电上限
Scheme2_StorageLP,C9_GridExport_RegionC,0,0.0,PASS,外送上限
Scheme2_StorageLP,C10_TerminalSOC_RegionC,0,0.0,PASS,SOC(2406) 不低于初始
Scheme2_StorageLP,C11_Hour2406Idle_RegionC,0,0.0,PASS,2406 仅结算，不充放电
Scheme2_StorageLP,C12_RenewableAlpha_RegionC,0,0.0,PASS,可再生消纳上限
Scheme2_StorageLP,C4_SOCRecurrence_RegionD,0,5.684341886080802e-14,PASS,SOC 时段末递推
Scheme2_StorageLP,C5_SOCBounds_RegionD,0,0.0,PASS,SOC 上下限
Scheme2_StorageLP,C6_ChargeLimit_RegionD,0,0.0,PASS,充电功率上限
Scheme2_StorageLP,C7_DischargeLimit_RegionD,0,0.0,PASS,放电功率上限
Scheme2_StorageLP,C8_GridImport_RegionD,0,0.0,PASS,毛购电上限
Scheme2_StorageLP,C9_GridExport_RegionD,0,0.0,PASS,外送上限
Scheme2_StorageLP,C10_TerminalSOC_RegionD,0,0.0,PASS,SOC(2406) 不低于初始
Scheme2_StorageLP,C11_Hour2406Idle_RegionD,0,0.0,PASS,2406 仅结算，不充放电
Scheme2_StorageLP,C12_RenewableAlpha_RegionD,0,0.0,PASS,可再生消纳上限
Scheme2_StorageLP,C4_SOCRecurrence_RegionE,0,1.1368683772161603e-13,PASS,SOC 时段末递推
Scheme2_StorageLP,C5_SOCBounds_RegionE,0,0.0,PASS,SOC 上下限
Scheme2_StorageLP,C6_ChargeLimit_RegionE,0,0.0,PASS,充电功率上限
Scheme2_StorageLP,C7_DischargeLimit_RegionE,0,0.0,PASS,放电功率上限
Scheme2_StorageLP,C8_GridImport_RegionE,0,0.0,PASS,毛购电上限
Scheme2_StorageLP,C9_GridExport_RegionE,0,0.0,PASS,外送上限
Scheme2_StorageLP,C10_TerminalSOC_RegionE,0,0.0,PASS,SOC(2406) 不低于初始
Scheme2_StorageLP,C11_Hour2406Idle_RegionE,0,0.0,PASS,2406 仅结算，不充放电
Scheme2_StorageLP,C12_RenewableAlpha_RegionE,0,1.1368683772161603e-13,PASS,可再生消纳上限
Scheme2_StorageLP,C4_SOCRecurrence_RegionF,0,1.1368683772161603e-13,PASS,SOC 时段末递推
Scheme2_StorageLP,C5_SOCBounds_RegionF,0,0.0,PASS,SOC 上下限
Scheme2_StorageLP,C6_ChargeLimit_RegionF,0,0.0,PASS,充电功率上限
Scheme2_StorageLP,C7_DischargeLimit_RegionF,0,0.0,PASS,放电功率上限
Scheme2_StorageLP,C8_GridImport_RegionF,0,0.0,PASS,毛购电上限
Scheme2_StorageLP,C9_GridExport_RegionF,0,0.0,PASS,外送上限
Scheme2_StorageLP,C10_TerminalSOC_RegionF,0,0.0,PASS,SOC(2406) 不低于初始
Scheme2_StorageLP,C11_Hour2406Idle_RegionF,0,0.0,PASS,2406 仅结算，不充放电
Scheme2_StorageLP,C12_RenewableAlpha_RegionF,0,0.0,PASS,可再生消纳上限
