Dimension,CarbonPrice_CNY_per_tCO2,CapacityFactor,RenewableAlpha,Feasible,Message,Scenario,OperatingCost_CNY,CarbonEmission_tCO2,Objective_CNY,GridPurchase_MWh,GridSell_MWh,Curtailment_MWh,DirectRenewable_MWh,RenewableCharge_MWh,GridCharge_MWh,Discharge_MWh,AvailableRenewable_MWh,RenewableUtilization,PeakNetGridImport_MW,MeanRegionalNetGridStd_MW,MaxRegionalNetGridStd_MW
carbon_price,0.0,1.0,1.0,True,,carbon_price,-459206011.6386329,0.0,-459206011.6386329,0.0,1491657.118480423,3521301.1607502257,6352321.3493376095,185488.73143174118,0.0,162145.55451234683,11550768.36,0.6951457209596206,0.0,1.0762443748417778,3.7376818199597523
carbon_price,50.0,1.0,1.0,True,,carbon_price,-459206011.6386329,0.0,-459206011.6386329,0.0,1491657.118480423,3521301.1607502257,6352321.3493376095,185488.73143174118,0.0,162145.55451234683,11550768.36,0.6951457209596206,0.0,1.0762443748417778,3.7376818199597523
carbon_price,100.0,1.0,1.0,True,,carbon_price,-459206011.6386329,0.0,-459206011.6386329,0.0,1491657.118480423,3521301.1607502257,6352321.3493376095,185488.73143174118,0.0,162145.55451234683,11550768.36,0.6951457209596206,0.0,1.0762443748417778,3.7376818199597523
carbon_price,150.0,1.0,1.0,True,,carbon_price,-459206011.6386329,0.0,-459206011.6386329,0.0,1491657.118480423,3521301.1607502257,6352321.3493376095,185488.73143174118,0.0,162145.55451234683,11550768.36,0.6951457209596206,0.0,1.0762443748417778,3.7376818199597523
carbon_price,200.0,1.0,1.0,True,,carbon_price,-459206011.6386329,0.0,-459206011.6386329,0.0,1491657.118480423,3521301.1607502257,6352321.3493376095,185488.73143174118,0.0,162145.55451234683,11550768.36,0.6951457209596206,0.0,1.0762443748417778,3.7376818199597523
carbon_price,300.0,1.0,1.0,True,,carbon_price,-459206011.6386329,0.0,-459206011.6386329,0.0,1491657.118480423,3521301.1607502257,6352321.3493376095,185488.73143174118,0.0,162145.55451234683,11550768.36,0.6951457209596206,0.0,1.0762443748417778,3.7376818199597523
carbon_price,500.0,1.0,1.0,True,,carbon_price,-459206011.6386329,0.0,-459206011.6386329,0.0,1491657.118480423,3521301.1607502257,6352321.3493376095,185488.73143174118,0.0,162145.55451234683,11550768.36,0.6951457209596206,0.0,1.0762443748417778,3.7376818199597523
renewable_alpha,200.0,1.0,0.5,True,,renewable_alpha,274654585.3964119,463916.13945309474,367437813.2870308,1053911.6572748565,245733.9506413774,5791861.985094581,5110863.996480677,402308.42778336466,0.0,349691.25009442365,11550768.36,0.4985734451093623,462.02574649361117,121.00901707807797,172.27883959331083
renewable_alpha,200.0,1.0,0.6,True,,renewable_alpha,-25041842.495178282,223102.9496253423,19578747.42989018,530905.752253867,535690.4023419122,4986922.247006588,5687598.409862032,340557.3007894686,0.0,295962.7417340574,11550768.36,0.5682605614119868,367.1,95.52950299049407,175.05193757817216
renewable_alpha,200.0,1.0,0.7,True,,renewable_alpha,-270426343.65126795,56622.42770212433,-259101858.1108431,136116.08176701557,868537.6963685633,4264345.612291902,6117559.732053579,300325.31928595545,0.0,260791.09002936244,11550768.36,0.6308171474497561,221.36257765733424,67.95317184717815,127.33898563188694
renewable_alpha,200.0,1.0,0.8,True,,renewable_alpha,-395979151.96559125,69.9124106248598,-395965169.48346627,112.3344004299558,1182549.1758286038,3815616.9495199267,6255736.197094919,296866.03755655,0.0,258618.37235460756,11550768.36,0.6696655295475142,43.744500449954984,37.62885873702323,82.78849394897927
renewable_alpha,200.0,1.0,0.9,True,,renewable_alpha,-439514914.5987916,0.0,-439514914.5987916,0.0,1393093.9950991105,3611804.9202197846,6296672.898907555,249196.5457735488,0.0,217794.00494240024,11550768.36,0.6873104188698506,0.0,18.658159643541936,49.73585945852346
renewable_alpha,200.0,1.0,1.0,True,,renewable_alpha,-459206011.6386329,0.0,-459206011.6386329,0.0,1491657.118480423,3521301.1607502257,6352321.3493376095,185488.73143174118,0.0,162145.55451234683,11550768.36,0.6951457209596206,0.0,1.0762443748417778,3.7376818199597523
capacity_factor,200.0,0.5,1.0,True,,capacity_factor,-448196978.2639421,0.0,-448196978.2639421,0.0,1436349.6880278662,3584607.6827955507,6407881.05418974,121929.93498684293,0.0,106585.84966021676,11550768.36,0.6896650014029413,0.0,11.590798480554147,33.47063037558705
capacity_factor,200.0,1.0,1.0,True,,capacity_factor,-459206011.6386329,0.0,-459206011.6386329,0.0,1491657.118480423,3521301.1607502257,6352321.3493376095,185488.73143174118,0.0,162145.55451234683,11550768.36,0.6951457209596206,0.0,1.0762443748417778,3.7376818199597523
capacity_factor,200.0,2.0,1.0,True,,capacity_factor,-459341065.15255415,0.0,-459341065.15255415,0.0,1492338.40213291,3520378.323337849,6350696.736484706,187354.89804453417,0.0,163770.16736525047,11550768.36,0.6952256149877593,0.0,0.005427016261086731,0.032562097566520384
renewable_minus_20_percent,200.0,1.0,1.0,True,,renewable_minus_20_percent,-395979151.96559125,69.9124106248598,-395965169.48346627,112.3344004299558,1182549.1758286038,1505463.2775199276,6255736.197094919,296866.03755655,0.0,258618.37235460756,9240614.688000001,0.8370819119343927,43.744500449954984,37.628709992220706,82.78849394897927
