Region,InitialSOC_MWh,FinalSOC_MWh,MinSOC_MWh,MaxSOC_MWh,TotalCharge_MWh,TotalDischarge_MWh,EquivalentCycles,Scenario
RegionA,157.5,157.5,35.0,157.5,185.61135487579588,158.809075231731,0.2268701074739014,Scheme2_StorageLP
RegionB,144.0,144.0,32.0,144.0,168.93193981832383,144.5381677085579,0.2258408870446217,Scheme2_StorageLP
RegionC,135.0,135.0,30.0,135.0,112.90322580645162,96.60000000000001,0.161,Scheme2_StorageLP
RegionD,405.0,405.0,90.0,627.9935470108903,43622.059020026456,38134.40399530713,21.185779997392853,Scheme2_StorageLP
RegionE,370.0,370.0,82.0,820.0,67069.72600856742,58632.35447668964,35.75143565651807,Scheme2_StorageLP
RegionF,382.5,382.5,85.0,850.0,74329.49988264672,64978.84879740975,38.22285223377044,Scheme2_StorageLP
RegionA,157.5,157.5,35.0,276.4712458369163,8756.062303354405,7491.68690675003,10.702409866785757,Scheme3_PeakOriented
RegionB,144.0,144.0,32.0,185.83827500000007,6499.401772690988,5560.888156714411,8.688887744866268,Scheme3_PeakOriented
RegionC,135.0,135.0,30.0,178.2885004277573,6447.363102130546,5516.363870182897,9.193939783638161,Scheme3_PeakOriented
RegionD,405.0,405.0,90.0,900.0000000000001,231666.49805756385,202522.8526019223,112.51269588995683,Scheme3_PeakOriented
RegionE,370.0,370.0,82.0,820.0000000000001,209284.87828027457,182956.84059261603,111.55904914183904,Scheme3_PeakOriented
RegionF,382.5,382.5,85.0,850.0000000000002,212765.14283506095,185999.28786641028,109.41134580377076,Scheme3_PeakOriented
RegionA,157.5,157.5,35.0,157.5,131.72043010752688,112.7,0.161,Scheme4_UtilizationOriented
RegionB,144.0,144.0,32.0,144.0,120.43010752688171,103.04,0.161,Scheme4_UtilizationOriented
RegionC,135.0,135.0,30.0,135.0,112.90322580645162,96.60000000000001,0.161,Scheme4_UtilizationOriented
RegionD,405.0,405.0,90.0,627.9935470108903,43622.059020026456,38134.40399530713,21.185779997392853,Scheme4_UtilizationOriented
RegionE,370.0,370.0,82.0,820.0,66941.67137192246,58520.40911333461,35.68317628861866,Scheme4_UtilizationOriented
RegionF,382.5,382.5,85.0,850.0,74196.10963614154,64862.23904391493,38.15425826112643,Scheme4_UtilizationOriented
