Constraint,ViolationCount,MaxViolation,Status,Detail
C1_TaskAssignment,0,0.0,PASS,每任务恰执行一次
C2_RealTime,0,0.0,PASS,实时任务到达即开工
C3_Latency,0,0.0,PASS,网络时延 SLA
C4_Deadline,0,0.0,PASS,截止时间
C5_Horizon,0,0.0,PASS,不占 2406 小时
C6_GPU_RegionA,0,0.0,PASS,外层已逐时检查 GPU 容量
C7_IT_RegionA,0,0.0,PASS,IT 功率容量
C8_GridImport_RegionA,0,0.0,PASS,毛购电上限
C9_SOC_RegionA,0,0.0,PASS,SOC 上下限
C10_TerminalSOC_RegionA,0,0.0,PASS,终端 SOC
C11_Hour2406Idle_RegionA,0,0.0,PASS,2406 不充放电
C6_GPU_RegionB,0,0.0,PASS,外层已逐时检查 GPU 容量
C7_IT_RegionB,0,0.0,PASS,IT 功率容量
C8_GridImport_RegionB,0,0.0,PASS,毛购电上限
C9_SOC_RegionB,0,0.0,PASS,SOC 上下限
C10_TerminalSOC_RegionB,0,0.0,PASS,终端 SOC
C11_Hour2406Idle_RegionB,0,0.0,PASS,2406 不充放电
C6_GPU_RegionC,0,0.0,PASS,外层已逐时检查 GPU 容量
C7_IT_RegionC,0,0.0,PASS,IT 功率容量
C8_GridImport_RegionC,0,0.0,PASS,毛购电上限
C9_SOC_RegionC,0,0.0,PASS,SOC 上下限
C10_TerminalSOC_RegionC,0,0.0,PASS,终端 SOC
C11_Hour2406Idle_RegionC,0,0.0,PASS,2406 不充放电
C6_GPU_RegionD,0,0.0,PASS,外层已逐时检查 GPU 容量
C7_IT_RegionD,0,0.0,PASS,IT 功率容量
C8_GridImport_RegionD,0,0.0,PASS,毛购电上限
C9_SOC_RegionD,0,0.0,PASS,SOC 上下限
C10_TerminalSOC_RegionD,0,0.0,PASS,终端 SOC
C11_Hour2406Idle_RegionD,0,0.0,PASS,2406 不充放电
C6_GPU_RegionE,0,0.0,PASS,外层已逐时检查 GPU 容量
C7_IT_RegionE,0,0.0,PASS,IT 功率容量
C8_GridImport_RegionE,0,0.0,PASS,毛购电上限
C9_SOC_RegionE,0,0.0,PASS,SOC 上下限
C10_TerminalSOC_RegionE,0,0.0,PASS,终端 SOC
C11_Hour2406Idle_RegionE,0,0.0,PASS,2406 不充放电
C6_GPU_RegionF,0,0.0,PASS,外层已逐时检查 GPU 容量
C7_IT_RegionF,0,0.0,PASS,IT 功率容量
C8_GridImport_RegionF,0,0.0,PASS,毛购电上限
C9_SOC_RegionF,0,0.0,PASS,SOC 上下限
C10_TerminalSOC_RegionF,0,0.0,PASS,终端 SOC
C11_Hour2406Idle_RegionF,0,0.0,PASS,2406 不充放电
