Scenario,Parameter,TaskCount,MigratedTasks,WeightedAverageLatency_ms,MaxLatency_ms,OperatingCost_CNY,CarbonEmission_tCO2,Objective_CNY,GridPurchase_MWh,GridSell_MWh,Curtailment_MWh,PeakNetGridImport_MW,RenewableUtilization
lambda,200.0,50000,22,5.0567103530147675,76.0,-459306737.8561421,0.0,-459306737.8561421,0.0,1492164.21923125,3525772.9922607625,0.0,0.6947585751550158
lambda,50.0,50000,22,5.0567103530147675,76.0,-459306737.8561421,0.0,-459306737.8561421,0.0,1492164.21923125,3525772.9922607625,0.0,0.6947585751550158
lambda,0.0,50000,22,5.0567103530147675,76.0,-459306737.8561421,0.0,-459306737.8561421,0.0,1492164.21923125,3525772.9922607625,0.0,0.6947585751550158
lambda,500.0,50000,22,5.0567103530147675,76.0,-459306737.8561421,0.0,-459306737.8561421,0.0,1492164.21923125,3525772.9922607625,0.0,0.6947585751550158
lambda,300.0,50000,22,5.0567103530147675,76.0,-459306737.8561421,0.0,-459306737.8561421,0.0,1492164.21923125,3525772.9922607625,0.0,0.6947585751550158
lambda,100.0,50000,22,5.0567103530147675,76.0,-459306737.8561421,0.0,-459306737.8561421,0.0,1492164.21923125,3525772.9922607625,0.0,0.6947585751550158
alpha,0.5,50000,0,5.0,5.0,274665412.9967995,463901.56972263055,367445726.94132566,1053877.515960952,245700.9182551236,5788783.122233135,462.0257464935759,0.4988399955902904
alpha,0.6,50000,0,5.0,5.0,-25036653.040474474,223128.60547399445,19589068.05432442,531008.8882738459,535793.999027275,4984469.154028606,367.09999999999593,0.56847293628624
alpha,1.0,50000,22,5.0567103530147675,76.0,-459306737.8561421,0.0,-459306737.8561421,0.0,1492164.21923125,3525772.9922607625,0.0,0.6947585751550158
alpha,0.8,50000,83,5.13887399165494,82.0,-421754244.781147,83.43062518236866,-421737558.6561105,143.85128454169313,1307222.4809841106,3691326.4588557584,54.290699550008604,0.6804258951604707
capacity,1.0,50000,22,5.0567103530147675,76.0,-459306737.8561421,0.0,-459306737.8561421,0.0,1492164.21923125,3525772.9922607625,0.0,0.6947585751550158
alpha,0.9,50000,46,5.079670712556567,76.0,-455156257.731567,12.740397695101647,-455153709.652028,21.502780920002778,1471805.5134506035,3532601.813177179,21.502780920002778,0.6941673745782589
capacity,0.5,50000,1,5.001831236943716,18.0,-456115450.93759924,0.0,-456115450.93759924,0.0,1476664.0460327733,3550279.2352020484,0.0,0.6926369636589225
alpha,0.7,50000,0,5.0,5.0,-270415632.8399645,56601.51347515081,-259095330.14493436,136033.70248028578,868435.6211165923,4262288.353802703,221.3625776573796,0.6309952532194402
capacity,2.0,50000,22,5.0567103530147675,76.0,-459341389.2,0.0,-459341389.2,0.0,1492340.0,3525352.8672046596,0.0,0.6947949471991092
renewable_minus_20_percent,0.8,50000,83,5.13887399165494,82.0,-421754244.781147,83.43062518236866,-421737558.6561105,143.85128454169313,1307222.4809841106,1387329.1197376174,54.290699550008604,0.8498661434786126
