TaskID,TaskType,SourceRegion,ExecRegion,ArrivalHour,StartHour,Duration_h,FinishHour,GPU_Demand,PowerRate_MW_per_GPU,GPU_h,IT_MWh,MaxLatency_ms,ActualLatency_ms,LatestFinishHour
1,AITraining,RegionD,RegionD,456,456,4.666666666666667,460.6666666666667,118.0,0.16,550.6666666666667,88.10666666666668,150.0,5.0,2406.0
2,RealTimeInference,RegionB,RegionB,1126,1126,3.3,1129.3,3.0,0.08,9.899999999999999,0.7919999999999999,20.0,5.0,1130.0
3,RealTimeInference,RegionB,RegionB,914,914,3.7333333333333334,917.7333333333333,5.0,0.08,18.666666666666668,1.4933333333333334,20.0,5.0,918.0
4,RealTimeInference,RegionC,RegionC,419,419,1.6166666666666667,420.6166666666667,3.0,0.08,4.85,0.38799999999999996,20.0,5.0,421.0
5,AITraining,RegionF,RegionF,2233,2233,2.683333333333333,2235.6833333333334,115.0,0.16,308.5833333333333,49.373333333333335,150.0,5.0,2406.0
6,RealTimeInference,RegionA,RegionA,1728,1728,5.3,1733.3,3.0,0.08,15.899999999999999,1.272,20.0,5.0,1734.0
7,RealTimeInference,RegionA,RegionA,122,122,5.05,127.05,2.0,0.08,10.1,0.8079999999999999,20.0,5.0,128.0
8,RealTimeInference,RegionA,RegionA,895,895,4.766666666666667,899.7666666666667,2.0,0.08,9.533333333333333,0.7626666666666667,20.0,5.0,900.0
9,RealTimeInference,RegionB,RegionB,2069,2069,5.383333333333334,2074.383333333333,1.0,0.08,5.383333333333334,0.4306666666666667,20.0,5.0,2075.0
10,AITraining,RegionE,RegionE,108,108,4.083333333333333,112.08333333333333,37.0,0.16,151.08333333333331,24.173333333333332,150.0,5.0,2406.0
11,AITraining,RegionF,RegionF,814,814,1.1333333333333333,815.1333333333333,104.0,0.16,117.86666666666666,18.858666666666664,150.0,5.0,2406.0
12,AITraining,RegionF,RegionF,2232,2232,3.283333333333333,2235.2833333333333,57.0,0.16,187.15,29.944000000000003,150.0,5.0,2406.0
13,BatchInference,RegionA,RegionA,902,902,3.316666666666667,905.3166666666667,19.0,0.1,63.01666666666667,6.301666666666668,80.0,5.0,2406.0
14,BatchInference,RegionB,RegionB,1139,1139,1.0,1140.0,18.0,0.1,18.0,1.8,80.0,5.0,2406.0
15,RealTimeInference,RegionB,RegionB,653,653,4.216666666666667,657.2166666666667,4.0,0.08,16.866666666666667,1.3493333333333335,20.0,5.0,658.0
16,AITraining,RegionE,RegionE,1731,1731,2.3333333333333335,1733.3333333333333,79.0,0.16,184.33333333333334,29.493333333333336,150.0,5.0,2406.0
17,BatchInference,RegionD,RegionD,1138,1138,2.4,1140.4,8.0,0.1,19.2,1.92,80.0,5.0,2406.0
18,RealTimeInference,RegionC,RegionC,881,881,2.933333333333333,883.9333333333333,5.0,0.08,14.666666666666666,1.1733333333333333,20.0,5.0,884.0
19,BatchInference,RegionA,RegionA,418,418,1.6333333333333333,419.6333333333333,21.0,0.1,34.3,3.4299999999999997,80.0,5.0,2406.0
20,RealTimeInference,RegionA,RegionA,1556,1556,4.183333333333334,1560.1833333333334,4.0,0.08,16.733333333333334,1.3386666666666667,20.0,5.0,1561.0
21,RealTimeInference,RegionA,RegionA,1470,1470,5.916666666666667,1475.9166666666667,2.0,0.08,11.833333333333334,0.9466666666666668,20.0,5.0,1476.0
22,BatchInference,RegionC,RegionC,1083,1083,1.6833333333333333,1084.6833333333334,5.0,0.1,8.416666666666666,0.8416666666666667,80.0,5.0,2406.0
23,RealTimeInference,RegionB,RegionB,1881,1881,4.55,1885.55,7.0,0.08,31.849999999999998,2.548,20.0,5.0,1886.0
24,AITraining,RegionF,RegionF,511,511,3.5833333333333335,514.5833333333334,62.0,0.16,222.16666666666669,35.546666666666674,150.0,5.0,2406.0
25,BatchInference,RegionF,RegionF,322,322,0.9833333333333333,322.98333333333335,20.0,0.1,19.666666666666664,1.9666666666666666,80.0,5.0,2406.0
26,AITraining,RegionB,RegionB,1200,1200,6.65,1206.65,119.0,0.16,791.35,126.616,150.0,5.0,2406.0
27,AITraining,RegionD,RegionD,1481,1481,4.483333333333333,1485.4833333333333,69.0,0.16,309.35,49.496,150.0,5.0,2406.0
28,AITraining,RegionD,RegionD,787,787,3.3333333333333335,790.3333333333334,69.0,0.16,230.0,36.800000000000004,150.0,5.0,2406.0
29,AITraining,RegionE,RegionE,284,284,2.85,286.85,33.0,0.16,94.05,15.048,150.0,5.0,2406.0
30,RealTimeInference,RegionC,RegionC,933,933,4.65,937.65,2.0,0.08,9.3,0.7440000000000001,20.0,5.0,938.0
31,BatchInference,RegionE,RegionE,326,326,3.7333333333333334,329.73333333333335,19.0,0.1,70.93333333333334,7.093333333333334,80.0,5.0,2406.0
32,RealTimeInference,RegionA,RegionA,413,413,5.083333333333333,418.0833333333333,4.0,0.08,20.333333333333332,1.6266666666666667,20.0,5.0,419.0
33,BatchInference,RegionA,RegionA,1138,1138,5.783333333333333,1143.7833333333333,19.0,0.1,109.88333333333333,10.988333333333333,80.0,5.0,2406.0
34,BatchInference,RegionB,RegionB,1494,1494,4.816666666666666,1498.8166666666666,18.0,0.1,86.69999999999999,8.67,80.0,5.0,2406.0
35,RealTimeInference,RegionB,RegionB,1516,1516,4.35,1520.35,2.0,0.08,8.7,0.696,20.0,5.0,1521.0
36,BatchInference,RegionD,RegionD,858,858,2.7666666666666666,860.7666666666667,16.0,0.1,44.266666666666666,4.426666666666667,80.0,5.0,2406.0
37,AITraining,RegionF,RegionF,1093,1093,1.2333333333333334,1094.2333333333333,30.0,0.16,37.0,5.92,150.0,5.0,2406.0
38,AITraining,RegionF,RegionF,292,292,5.883333333333334,297.8833333333333,104.0,0.16,611.8666666666667,97.89866666666667,150.0,5.0,2406.0
39,AITraining,RegionB,RegionB,700,700,2.4166666666666665,702.4166666666666,16.0,0.16,38.666666666666664,6.1866666666666665,150.0,5.0,2406.0
40,AITraining,RegionD,RegionD,1002,1002,1.5,1003.5,103.0,0.16,154.5,24.72,150.0,5.0,2406.0
41,RealTimeInference,RegionB,RegionB,1893,1893,4.966666666666667,1897.9666666666667,3.0,0.08,14.9,1.192,20.0,5.0,1898.0
42,BatchInference,RegionC,RegionC,1105,1105,0.8333333333333334,1105.8333333333333,8.0,0.1,6.666666666666667,0.6666666666666667,80.0,5.0,2406.0
43,AITraining,RegionE,RegionE,2281,2281,3.5,2284.5,43.0,0.16,150.5,24.080000000000002,150.0,5.0,2406.0
44,RealTimeInference,RegionC,RegionC,1328,1328,0.7,1328.7,4.0,0.08,2.8,0.22399999999999998,20.0,5.0,1329.0
45,RealTimeInference,RegionF,RegionF,938,938,1.1833333333333333,939.1833333333333,7.0,0.08,8.283333333333333,0.6626666666666666,20.0,5.0,940.0
46,RealTimeInference,RegionA,RegionA,1292,1292,6.15,1298.15,5.0,0.08,30.75,2.46,20.0,5.0,1299.0
