组,变量,n,median,median_ci_lower,median_ci_upper,iqr,iqr_ci_lower,iqr_ci_upper,置信水平,重复次数
流感A组,年龄,478,31.0,30.0,34.0,21.0,19.0,25.0,95%百分位bootstrap区间,2000
流感A组,WBC,478,6.545,6.32,6.7502499999999985,2.664999999999999,2.3824999999999994,2.9976250000000007,95%百分位bootstrap区间,2000
流感A组,N,478,4.71,4.57,5.0,2.4799999999999995,2.1324374999999995,2.7375,95%百分位bootstrap区间,2000
流感A组,L,478,0.91,0.86,0.935,0.5649999999999998,0.5075,0.65,95%百分位bootstrap区间,2000
流感A组,M,478,0.66,0.63,0.69,0.3075,0.27,0.34750000000000003,95%百分位bootstrap区间,2000
流感A组,RBC,478,4.65,4.58,4.7,0.6775000000000002,0.597500000000001,0.7674999999999992,95%百分位bootstrap区间,2000
流感A组,HB,478,136.0,134.0,139.0,20.0,17.75,22.0,95%百分位bootstrap区间,2000
流感A组,PLT,478,206.5,199.0,212.01249999999993,69.75,62.75,78.0,95%百分位bootstrap区间,2000
流感A组,RDW,478,12.4,12.3,12.5,1.0,0.9000000000000004,1.1999999999999993,95%百分位bootstrap区间,2000
健康组,年龄,52,43.0,39.0,44.0,11.25,7.5,15.256249999999966,95%百分位bootstrap区间,2000
健康组,WBC,52,5.65,5.42,5.87,0.9624999999999995,0.6449375000000005,2.040187499999999,95%百分位bootstrap区间,2000
健康组,N,52,3.1,2.95,3.3,1.1499999999999995,0.6000000000000001,1.4999999999999996,95%百分位bootstrap区间,2000
健康组,L,52,1.925,1.745,2.175,0.7075,0.5474999999999999,0.9899999999999998,95%百分位bootstrap区间,2000
健康组,M,52,0.345,0.3,0.38,0.1225,0.09249999999999997,0.19006249999999966,95%百分位bootstrap区间,2000
健康组,RBC,52,4.5649999999999995,4.4898750000000005,4.705,0.5124999999999993,0.3524375000000009,0.6374999999999993,95%百分位bootstrap区间,2000
健康组,HB,52,138.0,132.5,141.0,15.5,11.75,24.0,95%百分位bootstrap区间,2000
健康组,PLT,52,231.5,214.0,242.5,59.25,37.99375,83.5,95%百分位bootstrap区间,2000
健康组,RDW,52,12.8,12.6,13.05,0.8000000000000007,0.5250000000000004,1.1750000000000007,95%百分位bootstrap区间,2000
