来源,工作表,原始列名,统一列名
流感A组,FLUA-Adult,序号,序号
流感A组,FLUA-Adult,性别,性别
流感A组,FLUA-Adult,年龄,年龄
流感A组,FLUA-Adult,WBC（*10^9）,WBC
流感A组,FLUA-Adult,N（*10^9）,N
流感A组,FLUA-Adult,L（*10^9）,L
流感A组,FLUA-Adult,M（*10^9）,M
流感A组,FLUA-Adult,RBC（*10^12）,RBC
流感A组,FLUA-Adult,HB,HB
流感A组,FLUA-Adult,PLT（*10^9）,PLT
流感A组,FLUA-Adult,RDW（CV-%）,RDW
健康组,HC,序号,序号
健康组,HC,性别,性别
健康组,HC,年龄,年龄
健康组,HC,WBC（*10^9）,WBC
健康组,HC,N（*10^9）,N
健康组,HC,L（*10^9）,L
健康组,HC,M（*10^9）,M
健康组,HC,RBC（*10^12）,RBC
健康组,HC,HB,HB
健康组,HC,PLT（*10^9）,PLT
健康组,HC,RDW（CV-%）,RDW
