来源,工作表,原始名,统一名,单位,类型,缺失率,处理动作,变换方式
流感A组,FLUA-Adult,序号,序号,无,样本标识,0.0,保留,无
流感A组,FLUA-Adult,性别,性别,无,基本信息类/分类变量,0.0,数值转换/缺失统一/分类编码,无
流感A组,FLUA-Adult,年龄,年龄,岁,基本信息类,0.0,数值转换/缺失统一/分类编码,无
流感A组,FLUA-Adult,WBC（*10^9）,WBC,×10⁹/L,血液检测指标类,0.0,数值转换/缺失统一/分类编码,Box-Cox
流感A组,FLUA-Adult,N（*10^9）,N,×10⁹/L,血液检测指标类,0.0,数值转换/缺失统一/分类编码,Box-Cox
流感A组,FLUA-Adult,L（*10^9）,L,×10⁹/L,血液检测指标类,0.0,数值转换/缺失统一/分类编码,Box-Cox
流感A组,FLUA-Adult,M（*10^9）,M,×10⁹/L,血液检测指标类,0.0,数值转换/缺失统一/分类编码,Box-Cox
流感A组,FLUA-Adult,RBC（*10^12）,RBC,×10¹²/L,血液检测指标类,0.0,数值转换/缺失统一/分类编码,Box-Cox
流感A组,FLUA-Adult,HB,HB,g/L,血液检测指标类,0.0,数值转换/缺失统一/分类编码,Box-Cox
流感A组,FLUA-Adult,PLT（*10^9）,PLT,×10⁹/L,血液检测指标类,0.0,数值转换/缺失统一/分类编码,Box-Cox
流感A组,FLUA-Adult,RDW（CV-%）,RDW,%,血液检测指标类,0.0,数值转换/缺失统一/分类编码,Box-Cox
健康组,HC,序号,序号,无,样本标识,0.0,保留,无
健康组,HC,性别,性别,无,基本信息类/分类变量,0.0,数值转换/缺失统一/分类编码,无
健康组,HC,年龄,年龄,岁,基本信息类,0.0,数值转换/缺失统一/分类编码,无
健康组,HC,WBC（*10^9）,WBC,×10⁹/L,血液检测指标类,0.0,数值转换/缺失统一/分类编码,Box-Cox
健康组,HC,N（*10^9）,N,×10⁹/L,血液检测指标类,0.0,数值转换/缺失统一/分类编码,Box-Cox
健康组,HC,L（*10^9）,L,×10⁹/L,血液检测指标类,0.0,数值转换/缺失统一/分类编码,Box-Cox
健康组,HC,M（*10^9）,M,×10⁹/L,血液检测指标类,0.0,数值转换/缺失统一/分类编码,Box-Cox
健康组,HC,RBC（*10^12）,RBC,×10¹²/L,血液检测指标类,0.0,数值转换/缺失统一/分类编码,Box-Cox
健康组,HC,HB,HB,g/L,血液检测指标类,0.0,数值转换/缺失统一/分类编码,Box-Cox
健康组,HC,PLT（*10^9）,PLT,×10⁹/L,血液检测指标类,0.0,数值转换/缺失统一/分类编码,Box-Cox
健康组,HC,RDW（CV-%）,RDW,%,血液检测指标类,0.0,数值转换/缺失统一/分类编码,Box-Cox
合并数据,合并,无,来源,无,来源类别,0.0,保留,无
合并数据,合并,无,label,无,目标标签,0.0,按来源构建,无
