来源,工作表,原始列名,行数,数据类型,缺失数,空字符串数,缺失标记样式
流感A组,FLUA-Adult,序号,478,int64,0,0,空值/NA/N/A/na/n/a/null/None/-/—/–/999统一为NaN
流感A组,FLUA-Adult,性别,478,str,0,0,空值/NA/N/A/na/n/a/null/None/-/—/–/999统一为NaN
流感A组,FLUA-Adult,年龄,478,str,0,0,空值/NA/N/A/na/n/a/null/None/-/—/–/999统一为NaN
流感A组,FLUA-Adult,WBC（*10^9）,478,float64,0,0,空值/NA/N/A/na/n/a/null/None/-/—/–/999统一为NaN
流感A组,FLUA-Adult,N（*10^9）,478,float64,0,0,空值/NA/N/A/na/n/a/null/None/-/—/–/999统一为NaN
流感A组,FLUA-Adult,L（*10^9）,478,float64,0,0,空值/NA/N/A/na/n/a/null/None/-/—/–/999统一为NaN
流感A组,FLUA-Adult,M（*10^9）,478,float64,0,0,空值/NA/N/A/na/n/a/null/None/-/—/–/999统一为NaN
流感A组,FLUA-Adult,RBC（*10^12）,478,float64,0,0,空值/NA/N/A/na/n/a/null/None/-/—/–/999统一为NaN
流感A组,FLUA-Adult,HB,478,int64,0,0,空值/NA/N/A/na/n/a/null/None/-/—/–/999统一为NaN
流感A组,FLUA-Adult,PLT（*10^9）,478,int64,0,0,空值/NA/N/A/na/n/a/null/None/-/—/–/999统一为NaN
流感A组,FLUA-Adult,RDW（CV-%）,478,float64,0,0,空值/NA/N/A/na/n/a/null/None/-/—/–/999统一为NaN
健康组,HC,序号,52,str,0,0,空值/NA/N/A/na/n/a/null/None/-/—/–/999统一为NaN
健康组,HC,性别,52,str,0,0,空值/NA/N/A/na/n/a/null/None/-/—/–/999统一为NaN
健康组,HC,年龄,52,int64,0,0,空值/NA/N/A/na/n/a/null/None/-/—/–/999统一为NaN
健康组,HC,WBC（*10^9）,52,float64,0,0,空值/NA/N/A/na/n/a/null/None/-/—/–/999统一为NaN
健康组,HC,N（*10^9）,52,float64,0,0,空值/NA/N/A/na/n/a/null/None/-/—/–/999统一为NaN
健康组,HC,L（*10^9）,52,float64,0,0,空值/NA/N/A/na/n/a/null/None/-/—/–/999统一为NaN
健康组,HC,M（*10^9）,52,float64,0,0,空值/NA/N/A/na/n/a/null/None/-/—/–/999统一为NaN
健康组,HC,RBC（*10^12）,52,float64,0,0,空值/NA/N/A/na/n/a/null/None/-/—/–/999统一为NaN
健康组,HC,HB,52,int64,0,0,空值/NA/N/A/na/n/a/null/None/-/—/–/999统一为NaN
健康组,HC,PLT（*10^9）,52,int64,0,0,空值/NA/N/A/na/n/a/null/None/-/—/–/999统一为NaN
健康组,HC,RDW（CV-%）,52,float64,0,0,空值/NA/N/A/na/n/a/null/None/-/—/–/999统一为NaN
