组,变量,n,median,median_ci_lower,median_ci_upper,iqr,iqr_ci_lower,iqr_ci_upper,置信水平,重复次数
流感A组,年龄,476,31.0,30.0,34.0,21.0,19.0,24.268749999999898,95%百分位bootstrap区间,2000
流感A组,WBC,476,6.555,6.300000000000001,6.760249999999998,2.635,2.352500000000001,2.995062499999999,95%百分位bootstrap区间,2000
流感A组,N,476,4.715,4.59,5.01,2.47,2.114875,2.75,95%百分位bootstrap区间,2000
流感A组,L,476,0.91,0.86,0.935,0.555,0.5025,0.65,95%百分位bootstrap区间,2000
流感A组,M,476,0.66,0.634875,0.69,0.3024999999999999,0.2725,0.35,95%百分位bootstrap区间,2000
流感A组,RBC,476,4.65,4.57,4.7,0.6774999999999993,0.5949999999999998,0.7649999999999997,95%百分位bootstrap区间,2000
流感A组,HB,476,136.0,134.0,138.5,20.25,18.0,22.0,95%百分位bootstrap区间,2000
流感A组,PLT,476,206.5,200.0,212.0,70.0,62.25,78.5,95%百分位bootstrap区间,2000
流感A组,RDW,476,12.4,12.3,12.5,1.0,0.8250000000000011,1.1999999999999993,95%百分位bootstrap区间,2000
健康组,年龄,52,43.0,39.0,44.0,11.25,7.5,15.256249999999966,95%百分位bootstrap区间,2000
健康组,WBC,52,5.65,5.42,5.87,0.9624999999999996,0.6449375000000005,2.040187499999999,95%百分位bootstrap区间,2000
健康组,N,52,3.1,2.95,3.3,1.1499999999999997,0.6000000000000001,1.4999999999999996,95%百分位bootstrap区间,2000
健康组,L,52,1.925,1.745,2.175,0.7075,0.5474999999999999,0.9899999999999998,95%百分位bootstrap区间,2000
健康组,M,52,0.345,0.3,0.38,0.1225,0.0924999999999999,0.1900624999999996,95%百分位bootstrap区间,2000
健康组,RBC,52,4.565,4.4898750000000005,4.705,0.5124999999999993,0.3524375000000009,0.6374999999999993,95%百分位bootstrap区间,2000
健康组,HB,52,138.0,132.5,141.0,15.5,11.75,24.0,95%百分位bootstrap区间,2000
健康组,PLT,52,231.5,214.0,242.5,59.25,37.99375,83.5,95%百分位bootstrap区间,2000
健康组,RDW,52,12.8,12.6,13.05,0.8000000000000007,0.5250000000000004,1.1750000000000007,95%百分位bootstrap区间,2000
