变量,参考下限,参考上限,组,异常数,样本数,异常比例,与另一组比较p值
WBC,4.0,10.0,健康组,2,52,0.038461538461538464,0.02066472301671035
WBC,4.0,10.0,流感A组,74,478,0.15481171548117154,0.02066472301671035
N,1.8,6.3,健康组,1,52,0.019230769230769232,9.206520262231204e-06
N,1.8,6.3,流感A组,127,478,0.26569037656903766,9.206520262231204e-06
L,1.1,3.2,健康组,3,52,0.057692307692307696,6.383353742744666e-18
L,1.1,3.2,流感A组,314,478,0.6569037656903766,6.383353742744666e-18
M,0.1,0.6,健康组,1,52,0.019230769230769232,1.4155303797892602e-17
M,0.1,0.6,流感A组,283,478,0.5920502092050209,1.4155303797892602e-17
RBC,4.3,5.8,健康组,10,52,0.19230769230769232,0.5024557728075971
RBC,4.3,5.8,流感A组,117,478,0.24476987447698745,0.5024557728075971
HB,120.0,160.0,健康组,8,52,0.15384615384615385,1.0
HB,120.0,160.0,流感A组,76,478,0.1589958158995816,1.0
PLT,125.0,350.0,健康组,1,52,0.019230769230769232,0.4967855689889411
PLT,125.0,350.0,流感A组,24,478,0.0502092050209205,0.4967855689889411
RDW,11.5,14.5,健康组,4,52,0.07692307692307693,1.0
RDW,11.5,14.5,流感A组,41,478,0.08577405857740586,1.0
