变量,所属功能组,全局BH校正p值,Cliff's delta,单变量AUC,潜力评级
年龄,基本信息,0.0002807355336448588,-0.3236643064048922,0.33816784679755396,中
WBC,免疫防御与感染鉴别,0.0007361445788948062,0.298278081750885,0.6491390408754425,低
N,免疫防御与感染鉴别,1.1509206708053091e-11,0.5859349855165754,0.7929674927582877,中
L,免疫防御与感染鉴别,1.0356557075266446e-21,-0.8268023817186997,0.08659880914065014,高
M,免疫防御与感染鉴别,1.2810097852982778e-21,0.8189974251689733,0.9094987125844867,高
RBC,氧气运输与贫血诊断,0.5706058249548717,0.056002574831026664,0.5280012874155133,低
HB,氧气运输与贫血诊断,0.9752713264763169,-0.0026552944962986436,0.4986723527518506,低
PLT,凝血与止血,0.0011425860828741614,-0.2804956549726424,0.3597521725136788,低
RDW,氧气运输与贫血诊断,0.0007536113621652066,-0.2933295783714194,0.3533352108142903,低
N,免疫组合指标,3.8364022360176966e-12,0.5859349855165754,0.7929674927582877,补充
L,免疫组合指标,2.3014571278369877e-22,-0.8268023817186997,0.08659880914065014,补充
M,免疫组合指标,4.2700326176609255e-22,0.8189974251689733,0.9094987125844867,补充
NLR,免疫组合指标,3.0675162037431495e-24,0.8661892500804635,0.9330946250402318,补充
MLR,免疫组合指标,2.2864212450333872e-30,0.9794818152558737,0.989740907627937,补充
PLR,免疫组合指标,9.4673428149135e-18,0.7258609591245575,0.8629304795622786,补充
