类别,模型1,模型2,AUC1,AUC2,ΔAUC,z统计量,p值,显著性,模型,AIC,BIC,Log-Likelihood,χ²统计量,分组数,结论
DeLong检验,弹性网逻辑回归,LDA,0.9879,0.9729,0.0150,2.6841,0.0073,**,,,,,,,
DeLong检验,弹性网逻辑回归,CART,0.9879,0.9267,0.0613,3.6346,0.0003,***,,,,,,,
DeLong检验,弹性网逻辑回归,SVM-RBF,0.9879,0.9928,-0.0048,-1.1999,0.2302,ns,,,,,,,
DeLong检验,LDA,CART,0.9729,0.9267,0.0463,2.6491,0.0081,**,,,,,,,
DeLong检验,LDA,SVM-RBF,0.9729,0.9928,-0.0198,-3.3520,0.0008,***,,,,,,,
DeLong检验,CART,SVM-RBF,0.9267,0.9928,-0.0661,-3.9764,0.0001,***,,,,,,,
AIC/BIC,,,,,,,,,弹性网逻辑回归,151.93,177.54,-69.96,,,
AIC/BIC,,,,,,,,,LDA,167.10,192.72,-77.55,,,
AIC/BIC,,,,,,,,,CART,164.68,190.29,-76.34,,,
AIC/BIC,,,,,,,,,SVM-RBF,不适用,不适用,不适用（非概率模型）,,,
Hosmer-Lemeshow,,,,,,,0.0000,,弹性网逻辑回归,,,,761.2594,10.0,显著（注：不平衡数据下 HL 检验敏感性高，需结合 Brier/校准曲线判断）
Hosmer-Lemeshow,,,,,,,0.0000,,LDA,,,,259.5499,10.0,显著（注：不平衡数据下 HL 检验敏感性高，需结合 Brier/校准曲线判断）
Hosmer-Lemeshow,,,,,,,0.0000,,CART,,,,1422.4390,2.0,显著（注：不平衡数据下 HL 检验敏感性高，需结合 Brier/校准曲线判断）
Hosmer-Lemeshow,,,,,,,0.2195,,SVM-RBF,,,,10.6963,10.0,不显著（拟合良好）
