变量,分箱,范围,样本数,该箱流感比例,系数,原始分
L,档1,"[-inf, 0.79)",170,1.000,-1.6194,0.9038
L,档2,"[0.79, 1.20)",179,0.989,-1.6194,0.2457
L,档3,"[1.20, +∞)",179,0.721,-1.6194,-1.1041
M,档1,"[-inf, 0.52)",167,0.713,4.2960,-1.1635
M,档2,"[0.52, 0.74)",182,0.978,4.2960,-0.1432
M,档3,"[0.74, +∞)",179,1.000,4.2960,1.2311
N,档1,"[-inf, 3.90)",175,0.777,-0.4818,0.9683
N,档2,"[3.90, 5.45)",177,0.944,-0.4818,0.1745
N,档3,"[5.45, +∞)",176,0.983,-0.4818,-1.1382
年龄,档1,"[-inf, 28.00)",172,0.988,-0.0829,1.2912
年龄,档2,"[28.00, 42.00)",176,0.875,-0.0829,0.3954
年龄,档3,"[42.00, +∞)",180,0.844,-0.0829,-1.6205
NLR_log,档1,"[-inf, 1.48)",176,0.705,1.9607,-1.2881
NLR_log,档2,"[1.48, 1.99)",176,1.000,1.9607,-0.0606
NLR_log,档3,"[1.99, +∞)",176,1.000,1.9607,1.3487
截距,-,-,528,0.902,5.5080,5.5080
